Aug 21, 2025  03:58:48 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 1 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1235, Volts
CEM Gain, 1.03E+003 
Sensitivity Factor, 1.99E-005 
Filament Current, 1.00, mAmps
Start time, Aug 21, 2025  03:58:48 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         138.00         Barium                1.00         3            OFF


Time(s)      Channel#1   

0.000,   1.2945E-008,  
0.998,   1.1653E-008,  
2.012,   1.4985E-008,  
3.026,   1.2487E-008,  
4.040,   1.1899E-008,  
5.054,   1.4970E-008,  
6.068,   1.6025E-008,  
7.082,   1.1332E-008,  
8.096,   1.1412E-008,  
9.110,   1.4769E-008,  
10.124,   1.5141E-008,  
11.138,   1.3779E-008,  
12.152,   1.0578E-008,  
13.166,   1.5739E-008,  
14.180,   1.5422E-008,  
15.194,   1.0844E-008,  
16.208,   1.1970E-008,  
17.222,   1.4156E-008,  
18.236,   1.4040E-008,  
19.250,   1.3608E-008,  
20.264,   1.3085E-008,  
21.278,   1.4824E-008,  
22.292,   1.5794E-008,  
23.306,   1.1573E-008,  
24.320,   1.3628E-008,  
25.334,   1.4709E-008,  
26.348,   1.5789E-008,  
27.362,   1.5045E-008,  
28.376,   1.3000E-008,  
29.390,   1.4467E-008,  
30.404,   1.2668E-008,  
31.418,   1.2874E-008,  
32.432,   1.1015E-008,  
33.446,   1.3899E-008,  
34.460,   1.5683E-008,  
35.474,   1.3477E-008,  
36.488,   1.1065E-008,  
37.502,   1.5427E-008,  
38.516,   1.4784E-008,  
39.530,   1.2744E-008,  
40.544,   1.3221E-008,  
41.558,   1.5432E-008,  
42.572,   1.6116E-008,  
43.586,   1.4276E-008,  
44.600,   1.3196E-008,  
45.614,   1.4045E-008,  
46.628,   1.5090E-008,  
47.642,   1.2628E-008,  
48.656,   1.2588E-008,  
49.670,   1.3477E-008,  
50.684,   1.3683E-008,  
51.698,   1.4935E-008,  
52.712,   1.3367E-008,  
53.726,   1.2030E-008,  
54.740,   1.5769E-008,  
55.754,   1.3804E-008,  
56.768,   1.3729E-008,  
57.782,   1.3910E-008,  
58.796,   1.3930E-008,  
59.810,   1.4332E-008,  
60.824,   1.4121E-008,  
61.838,   1.2980E-008,  
62.852,   1.5799E-008,  
63.866,   1.6452E-008,  
64.880,   1.3854E-008,  
65.894,   1.2020E-008,  
66.908,   1.5980E-008,  
67.922,   1.4357E-008,  
68.936,   1.4965E-008,  
69.950,   1.4236E-008,  
70.964,   1.6337E-008,  
71.979,   1.7136E-008,  
72.993,   1.4553E-008,  
74.007,   1.1668E-008,  
75.021,   1.6563E-008,  
76.035,   1.5201E-008,  
77.049,   1.5080E-008,  
78.063,   1.3085E-008,  
79.077,   1.4879E-008,  
80.091,   1.5553E-008,  
81.105,   1.2940E-008,  
82.119,   1.4322E-008,  
83.133,   1.3854E-008,  
84.147,   1.7472E-008,  
85.161,   1.5859E-008,  
86.175,   1.5136E-008,  
87.189,   1.2869E-008,  
88.203,   1.7307E-008,  
89.217,   1.5970E-008,  
90.231,   1.3879E-008,  
91.245,   1.3925E-008,  
92.259,   1.5970E-008,  
93.273,   1.5492E-008,  
94.287,   1.5392E-008,  
95.301,   1.2955E-008,  
96.315,   1.6080E-008,  
97.329,   1.5015E-008,  
98.343,   1.3940E-008,  
99.357,   1.4548E-008,  
100.371,   1.7990E-008,  
101.385,   1.6116E-008,  
102.399,   1.7503E-008,  
103.413,   1.3688E-008,  
104.427,   1.4884E-008,  
105.441,   1.6970E-008,  
106.455,   1.4357E-008,  
107.469,   1.3980E-008,  
108.483,   1.5628E-008,  
109.497,   1.6327E-008,  
110.511,   1.6412E-008,  
111.525,   1.3106E-008,  
112.539,   1.4422E-008,  
113.553,   1.7196E-008,  
114.567,   1.7653E-008,  
115.581,   1.4839E-008,  
116.595,   1.7261E-008,  
117.609,   1.7090E-008,  
118.623,   1.4528E-008,  
119.637,   1.5648E-008,  
120.651,   1.5387E-008,  
121.665,   1.6789E-008,  
122.679,   1.6859E-008,  
123.693,   1.4960E-008,  
124.707,   1.4940E-008,  
125.721,   1.5688E-008,  
126.735,   1.4387E-008,  
127.749,   1.5392E-008,  
128.763,   1.5085E-008,  
129.777,   1.5457E-008,  
130.791,   1.7211E-008,  
131.805,   1.5060E-008,  
132.819,   1.5020E-008,  
133.833,   1.7879E-008,  
134.847,   1.4874E-008,  
135.861,   1.5714E-008,  
136.875,   1.5749E-008,  
137.889,   1.6171E-008,  
138.903,   1.7477E-008,  
139.917,   1.6156E-008,  
140.931,   1.4588E-008,  
141.945,   1.7533E-008,  
142.959,   1.5457E-008,  
143.973,   1.5955E-008,  
144.987,   1.5462E-008,  
146.001,   1.5729E-008,  
147.015,   1.7407E-008,  
148.029,   1.6829E-008,  
149.043,   1.4739E-008,  
150.057,   1.6296E-008,  
151.071,   1.7543E-008,  
152.085,   1.5342E-008,  
153.099,   1.4874E-008,  
154.113,   1.5668E-008,  
155.127,   1.8337E-008,  
156.141,   1.7372E-008,  
157.155,   1.5563E-008,  
158.169,   1.5859E-008,  
159.183,   1.6206E-008,  
160.197,   1.5663E-008,  
161.211,   1.4568E-008,  
162.225,   1.5447E-008,  
163.239,   1.6151E-008,  
164.269,   1.8146E-008,  
165.267,   1.6613E-008,  
166.281,   1.5095E-008,  
167.295,   1.6724E-008,  
168.309,   1.7598E-008,  
169.323,   1.6241E-008,  
170.337,   1.6774E-008,  
171.351,   1.6804E-008,  
172.365,   1.5955E-008,  
173.379,   1.5161E-008,  
174.393,   1.5377E-008,  
175.407,   1.7131E-008,  
176.421,   1.8090E-008,  
177.435,   1.6568E-008,  
178.449,   1.5663E-008,  
179.463,   1.5508E-008,  
180.477,   1.7136E-008,  
181.491,   1.8658E-008,  
182.505,   1.5136E-008,  
183.519,   1.6085E-008,  
184.533,   1.9588E-008,  
185.547,   1.6246E-008,  
186.561,   1.5176E-008,  
187.575,   1.6332E-008,  
188.589,   1.7357E-008,  
189.603,   1.8970E-008,  
190.617,   1.6166E-008,  
191.631,   1.4296E-008,  
192.645,   1.8226E-008,  
193.659,   1.9060E-008,  
194.673,   1.7322E-008,  
195.687,   1.4653E-008,  
196.701,   1.6281E-008,  
197.715,   1.8794E-008,  
198.729,   1.6879E-008,  
199.743,   1.5327E-008,  
200.757,   1.7302E-008,  
201.771,   1.9658E-008,  
202.785,   1.6251E-008,  
203.799,   1.7985E-008,  
204.813,   1.6131E-008,  
205.827,   1.8593E-008,  
206.841,   1.6457E-008,  
207.855,   1.5709E-008,  
208.869,   1.7482E-008,  
209.883,   1.7352E-008,  
210.897,   1.4864E-008,  
211.911,   1.5116E-008,  
212.925,   1.6010E-008,  
213.939,   1.8025E-008,  
214.953,   1.7608E-008,  
215.967,   1.5090E-008,  
216.981,   1.5930E-008,  
217.995,   1.9628E-008,  
219.009,   1.9427E-008,  
220.023,   1.7166E-008,  
221.037,   1.7442E-008,  
222.051,   1.6492E-008,  
223.065,   1.8905E-008,  
224.079,   1.9206E-008,  
225.093,   1.5342E-008,  
226.107,   1.9000E-008,  
227.121,   1.9467E-008,  
228.136,   1.5347E-008,  
229.150,   1.5201E-008,  
230.164,   1.6583E-008,  
231.178,   1.9553E-008,  
232.192,   1.8739E-008,  
233.206,   1.8005E-008,  
234.220,   1.7010E-008,  
235.234,   2.0492E-008,  
236.248,   1.6588E-008,  
237.262,   1.8759E-008,  
238.276,   1.8618E-008,  
239.290,   1.9960E-008,  
240.304,   1.7322E-008,  
241.318,   1.7322E-008,  
242.332,   1.7126E-008,  
243.346,   1.8276E-008,  
244.360,   1.8407E-008,  
245.374,   1.6357E-008,  
246.388,   1.8397E-008,  
247.402,   1.7719E-008,  
248.416,   1.9126E-008,  
249.430,   1.8920E-008,  
250.444,   1.7111E-008,  
251.458,   1.9543E-008,  
252.472,   2.0739E-008,  
253.486,   1.7302E-008,  
254.500,   1.6648E-008,  
255.514,   1.6015E-008,  
256.528,   1.9970E-008,  
257.542,   1.7789E-008,  
258.571,   1.7633E-008,  
259.570,   1.6106E-008,  
260.584,   2.0729E-008,  
261.598,   1.7327E-008,  
262.612,   1.4714E-008,  
263.626,   1.6312E-008,  
264.640,   1.5769E-008,  
265.654,   1.8337E-008,  
266.668,   1.5960E-008,  
267.682,   1.5593E-008,  
268.696,   1.7648E-008,  
269.710,   1.6985E-008,  
